"word";"in documents";"total";"in class (unknown)";"in class (food/beverage/hospitality)"
"fleet";6;10;0.0;0.0
"flexabl";4;4;0.0;0.0
"flexibl";32;34;0.0;0.0
"floor";4;4;0.0;0.0
"flow";4;4;0.0;0.0
"flower";3;9;0.0;0.0
"fluenci";3;3;0.0;0.0
"fluent";20;20;0.0;0.0
"focu";5;5;0.0;0.0
"focus";10;10;0.0;0.0
"folk";4;4;0.0;0.0
"follow";18;21;0.0;0.0
"food";39;58;0.0;0.0
"foot";6;7;0.0;0.0
"forc";3;4;0.0;0.0
"forklift";6;7;0.0;0.0
"form";6;6;0.0;0.0
"formal";8;9;0.0;0.0
"format";6;6;0.0;0.0
"forward";48;54;0.0;0.0
"found";3;3;0.0;0.0
"foundat";11;13;0.0;0.0
"frame";4;7;0.0;0.0
"fraser";3;3;0.0;0.0
"free";9;10;0.0;0.0
"french";4;5;0.0;0.0
"fresh";7;9;0.0;0.0
"fridai";20;21;0.0;0.0
"friend";3;13;0.0;0.0
"friendli";34;39;0.0;0.0
"front";19;21;0.0;0.0
"fulfil";8;9;0.0;0.0
"full";80;99;0.0;0.0
"fulli";5;6;0.0;0.0
"fun";34;38;0.0;0.0
"function";19;25;0.0;0.0
"fund";5;10;0.0;0.0
"further";10;10;0.0;0.0
"futur";12;17;0.0;0.0
"g";10;11;0.0;0.0
"ga";8;13;0.0;0.0
"gadgetri";3;3;0.0;0.0
"gain";5;6;0.0;0.0
"game";3;19;0.0;0.0
"gather";4;4;0.0;0.0
"gear";3;3;0.0;0.0
"gener";41;58;0.0;0.0
"get";29;33;0.0;0.0
"getter";3;3;0.0;0.0
"give";9;10;0.0;0.0
"given";11;12;0.0;0.0
"global";3;3;0.0;0.0
"gmail";9;9;0.0;0.0
"go";23;26;0.0;0.0
"goal";24;31;0.0;0.0
"goe";3;3;0.0;0.0
"gold";5;7;0.0;0.0
"goldsgymbc";3;3;0.0;0.0
"golf";3;3;0.0;0.0
"good";75;96;0.0;0.0
"govern";5;6;0.0;0.0
"grade";7;8;0.0;0.0
"graduat";11;11;0.0;0.0
"grasp";3;3;0.0;0.0
"great";66;88;0.0;0.0
"greater";4;7;0.0;0.0
"groom";8;8;0.0;0.0
"ground";3;3;0.0;0.0
"group";19;27;0.0;0.0
"grow";53;67;0.0;0.0
"growth";32;34;0.0;0.0
"guess";3;3;0.0;0.0
"guest";5;7;0.0;0.0
"gui";3;4;0.0;0.0
"guidanc";6;7;0.0;0.0
"guidelin";3;3;0.0;0.0
"gym";3;7;0.0;0.0
"hair";4;4;0.0;0.0
"hairstylist";3;5;0.0;0.0
"hall";9;12;0.0;0.0
"hand";15;16;0.0;0.0
"handl";21;23;0.0;0.0
"happi";5;9;0.0;0.0
"hardwar";3;3;0.0;0.0
"hardwork";5;5;0.0;0.0
"head";9;9;0.0;0.0
"headquart";4;4;0.0;0.0
"health";19;28;0.0;0.0
"healthcar";3;3;0.0;0.0
"healthi";3;3;0.0;0.0
"hear";23;23;0.0;0.0
"heart";3;3;0.0;0.0
"heat";5;5;0.0;0.0
"heavi";5;5;0.0;0.0
"hei";3;4;0.0;0.0
"held";6;6;0.0;0.0
"hello";4;4;0.0;0.0
"help";58;77;0.0;0.0
"helper";7;7;0.0;0.0
"hi";8;8;0.0;0.0
"highest";5;5;0.0;0.0
"highli";24;28;0.0;0.0
"hire";42;57;0.0;0.0
"histori";10;11;0.0;0.0
"hold";7;8;0.0;0.0
"holidai";10;13;0.0;0.0
"honest";8;8;0.0;0.0
"honesti";3;3;0.0;0.0
"hope";3;3;0.0;0.0
"hospit";5;5;0.0;0.0
"host";5;5;0.0;0.0
"hostess";3;4;0.0;0.0
"hotmail";4;4;0.0;0.0
"hour";85;128;0.0;0.0
"hourli";15;15;0.0;0.0
"hous";18;20;0.0;0.0
"household";5;7;0.0;0.0
"housekeep";6;7;0.0;0.0
"howesound";3;6;0.0;0.0
"hr";34;48;0.0;0.0
"hst";3;3;0.0;0.0
"html";7;8;0.0;0.0
"http";21;25;0.0;0.0
"human";4;4;0.0;0.0
"i";28;73;0.0;0.0
"icbc";3;3;0.0;0.0
"idea";13;18;0.0;0.0
"ideal";34;36;0.0;0.0
"identifi";14;19;0.0;0.0
"ie";4;5;0.0;0.0
"ill";5;5;0.0;0.0
"imag";6;7;0.0;0.0
"immedi";15;15;0.0;0.0
"implement";17;43;0.0;0.0
"import";7;8;0.0;0.0
"improv";21;23;0.0;0.0
"inc";8;8;0.0;0.0
"incent";4;5;0.0;0.0
"includ";108;162;0.0;0.0
"incom";16;18;0.0;0.0
"incorpor";3;3;0.0;0.0
"increas";5;6;0.0;0.0
"incumb";4;4;0.0;0.0
"independ";26;31;0.0;0.0
"individu";57;85;0.0;0.0
"industri";55;75;0.0;0.0
"info";11;12;0.0;0.0
"inform";54;69;0.0;0.0
"initi";11;14;0.0;0.0
"innov";11;12;0.0;0.0
"inquiri";8;8;0.0;0.0
"insight";3;5;0.0;0.0
"inspect";4;5;0.0;0.0
"inspir";11;11;0.0;0.0
"instal";16;20;0.0;0.0
"institut";12;17;0.0;0.0
"instruct";10;16;0.0;0.0
"instructor";5;10;0.0;0.0
"insur";10;16;0.0;0.0
"integr";21;25;0.0;0.0
"intellig";5;5;0.0;0.0
"interact";18;22;0.0;0.0
"interest";90;109;0.0;0.0
"interfac";3;3;0.0;0.0
"interior";3;4;0.0;0.0
"intermedi";8;9;0.0;0.0
"intern";19;26;0.0;0.0
"internet";5;6;0.0;0.0
"interperson";14;15;0.0;0.0
"interpret";4;4;0.0;0.0
"intervent";5;5;0.0;0.0
"interview";59;65;0.0;0.0
"introduct";3;6;0.0;0.0
"inventori";11;23;0.0;0.0
"invest";6;14;0.0;0.0
"investig";5;7;0.0;0.0
"invit";11;11;0.0;0.0
"invoic";9;15;0.0;0.0
"involv";14;14;0.0;0.0
"island";3;5;0.0;0.0
"issu";21;30;0.0;0.0
"item";9;12;0.0;0.0
"janitori";4;5;0.0;0.0
"januari";4;4;0.0;0.0
"javascript";3;3;0.0;0.0
"job";107;165;0.0;0.0
"join";56;66;0.0;0.0
"joke";3;3;0.0;0.0
"jonev";3;6;0.0;0.0
"junior";6;6;0.0;0.0
"k";5;7;0.0;0.0
"keen";6;6;0.0;0.0
"keep";19;24;0.0;0.0
"kei";28;28;0.0;0.0
"kid";4;10;0.0;0.0
"kitchen";13;26;0.0;0.0
"know";17;18;0.0;0.0
"knowledg";92;125;0.0;0.0
"korean";6;12;0.0;0.0
"label";4;5;0.0;0.0
"labor";3;3;0.0;0.0
"labour";6;7;0.0;0.0
"langlei";5;5;0.0;0.0
"languag";20;23;0.0;0.0
"largest";17;17;0.0;0.0
"latest";8;10;0.0;0.0
"launch";4;4;0.0;0.0
"laundri";4;4;0.0;0.0
"law";3;10;0.0;0.0
"lawyer";4;4;0.0;0.0
"layer";3;4;0.0;0.0
"lb";6;8;0.0;0.0
"lead";49;71;0.0;0.0
"leader";9;9;0.0;0.0
"leadership";10;12;0.0;0.0
"learn";47;64;0.0;0.0
"learner";5;5;0.0;0.0
"leav";7;8;0.0;0.0
"legaci";3;3;0.0;0.0
"legal";4;5;0.0;0.0
"legisl";3;6;0.0;0.0
"length";3;5;0.0;0.0
"lesson";4;4;0.0;0.0
"let";3;3;0.0;0.0
"letter";78;84;0.0;0.0
"level";51;69;0.0;0.0
"li";3;3;0.0;0.0
"liais";4;4;0.0;0.0
"licenc";5;5;0.0;0.0
"licens";40;46;0.0;0.0
"life";8;8;0.0;0.0
"lifestyl";6;7;0.0;0.0
"lift";10;10;0.0;0.0
"light";12;14;0.0;0.0
"limit";15;18;0.0;0.0
"line";40;42;0.0;0.0
"link";8;9;0.0;0.0
"list";18;18;0.0;0.0
"listen";5;5;0.0;0.0
"live";24;26;0.0;0.0
"ll";5;8;0.0;0.0
"load";5;7;0.0;0.0
"local";22;33;0.0;0.0
"locat";66;82;0.0;0.0
"logist";3;3;0.0;0.0
"look";185;251;0.0;0.0
"lot";6;6;0.0;0.0
"love";27;40;0.0;0.0
"low";3;3;0.0;0.0
"lower";21;23;0.0;0.0
"lpn";3;3;0.0;0.0
"ltd";4;4;0.0;0.0
"luck";3;3;0.0;0.0
"lunch";3;3;0.0;0.0
"m";9;10;0.0;0.0
"mac";9;12;0.0;0.0
"machin";9;21;0.0;0.0
"machineri";5;11;0.0;0.0
"made";8;10;0.0;0.0
"mail";18;22;0.0;0.0
"main";6;7;0.0;0.0
"mainland";20;22;0.0;0.0
"mainli";4;5;0.0;0.0
"maintain";50;70;0.0;0.0
"mainten";17;39;0.0;0.0
"major";10;10;0.0;0.0
"make";40;52;0.0;0.0
"maker";3;4;0.0;0.0
"male";6;6;0.0;0.0
"mall";3;3;0.0;0.0
"man";3;3;0.0;0.0
"manag";90;222;0.0;0.0
"mandarin";3;3;0.0;0.0
"mandatori";4;4;0.0;0.0
"manner";16;19;0.0;0.0
"manual";8;8;0.0;0.0
"manufactur";14;19;0.0;0.0
"map";3;3;0.0;0.0
"mark";4;6;0.0;0.0
"market";42;88;0.0;0.0
"massag";7;11;0.0;0.0
"master";7;9;0.0;0.0
"materi";29;43;0.0;0.0
"math";11;14;0.0;0.0
"matter";3;3;0.0;0.0
"matur";10;10;0.0;0.0
"maxim";8;8;0.0;0.0
"meal";13;17;0.0;0.0
"mean";4;4;0.0;0.0
"measur";4;4;0.0;0.0
"mechan";7;20;0.0;0.0
"media";10;15;0.0;0.0
"medic";15;18;0.0;0.0
"meet";65;83;0.0;0.0
"member";25;29;0.0;0.0
"membership";5;8;0.0;0.0
"men";3;3;0.0;0.0
"mental";6;12;0.0;0.0
"mention";6;6;0.0;0.0
"mentor";3;5;0.0;0.0
"menu";5;9;0.0;0.0
"merchandis";10;12;0.0;0.0
"messag";4;4;0.0;0.0
"metal";5;9;0.0;0.0
"method";4;4;0.0;0.0
"methodolog";6;6;0.0;0.0
"metro";3;3;0.0;0.0
"microsoft";18;21;0.0;0.0
"midnight";3;3;0.0;0.0
"mike";4;4;0.0;0.0
"mile";4;7;0.0;0.0
"mill";5;7;0.0;0.0
"million";5;6;0.0;0.0
"min";7;7;0.0;0.0
"mind";10;12;0.0;0.0
"minim";4;5;0.0;0.0
"minimum";67;89;0.0;0.0
"minor";3;3;0.0;0.0
